"id","facility_name","hours_type","productive_hours"
18535,"MEMORIAL HOSPITAL LOS BANOS","Aides & Orderlies",9489
18536,"MEMORIAL HOSPITAL LOS BANOS","Clerical & Other Administrative",89577
18537,"MEMORIAL HOSPITAL LOS BANOS","Environmental & Food Services",67956
18538,"MEMORIAL HOSPITAL LOS BANOS","Other",6371
18539,"MEMORIAL HOSPITAL LOS BANOS","Contracted Registry Nursing",10810
18540,"MEMORIAL HOSPITAL LOS BANOS","Contracted Other",5439
18541,"MEMORIAL HOSPITAL LOS BANOS","Daily Cost Centers",81581
18542,"MEMORIAL HOSPITAL LOS BANOS","Ambulatory Cost Centers",91109
18543,"MEMORIAL HOSPITAL LOS BANOS","Ancillary Cost Centers",101402
18544,"MEMORIAL HOSPITAL LOS BANOS","Education Cost Centers",0
18545,"MEMORIAL HOSPITAL LOS BANOS","General Services Cost Centers",86495
18546,"MEMORIAL HOSPITAL LOS BANOS","Fiscal Services Cost Centers",26635
18547,"MEMORIAL HOSPITAL LOS BANOS","Administrative Services Cost Centers",80144
18548,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Management & Supervision",199411
18549,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Technician & Specialist",460336
18550,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Registered Nurse",590354
18551,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Licensed Vocational Nurse",51723
18552,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Aides & Orderlies",103915
18553,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Clerical & Other Administrative",289393
18554,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Environmental & Food Services",257274
18555,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Other",120191
18556,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Contracted Registry Nursing",60509
18557,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Contracted Other",72676
18558,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Daily Cost Centers",548905
18559,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Ambulatory Cost Centers",269475
18560,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Ancillary Cost Centers",499299
18561,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Education Cost Centers",65328
18562,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","General Services Cost Centers",437188
18563,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Fiscal Services Cost Centers",123355
18564,"MERCY MEDICAL CENTER MERCED - COMMUNITY CAMPUS","Administrative Services Cost Centers",256099
18565,"MARIE GREEN PSYCHIATRIC CENTER","Management & Supervision",0
18566,"MARIE GREEN PSYCHIATRIC CENTER","Technician & Specialist",0
18567,"MARIE GREEN PSYCHIATRIC CENTER","Registered Nurse",0
18568,"MARIE GREEN PSYCHIATRIC CENTER","Licensed Vocational Nurse",0
18569,"MARIE GREEN PSYCHIATRIC CENTER","Aides & Orderlies",0
18570,"MARIE GREEN PSYCHIATRIC CENTER","Clerical & Other Administrative",0
18571,"MARIE GREEN PSYCHIATRIC CENTER","Environmental & Food Services",0
18572,"MARIE GREEN PSYCHIATRIC CENTER","Other",0
18573,"MARIE GREEN PSYCHIATRIC CENTER","Contracted Registry Nursing",0
18574,"MARIE GREEN PSYCHIATRIC CENTER","Contracted Other",0
18575,"MARIE GREEN PSYCHIATRIC CENTER","Daily Cost Centers",0
18576,"MARIE GREEN PSYCHIATRIC CENTER","Ambulatory Cost Centers",0
18577,"MARIE GREEN PSYCHIATRIC CENTER","Ancillary Cost Centers",0
18578,"MARIE GREEN PSYCHIATRIC CENTER","Education Cost Centers",0
18579,"MARIE GREEN PSYCHIATRIC CENTER","General Services Cost Centers",0
18580,"MARIE GREEN PSYCHIATRIC CENTER","Fiscal Services Cost Centers",0
18581,"MARIE GREEN PSYCHIATRIC CENTER","Administrative Services Cost Centers",0
18582,"SURPRISE VALLEY COMMUNITY HOSPITAL","Management & Supervision",16523
18583,"SURPRISE VALLEY COMMUNITY HOSPITAL","Technician & Specialist",0
18584,"SURPRISE VALLEY COMMUNITY HOSPITAL","Registered Nurse",13729
18585,"SURPRISE VALLEY COMMUNITY HOSPITAL","Licensed Vocational Nurse",10208
18586,"SURPRISE VALLEY COMMUNITY HOSPITAL","Aides & Orderlies",24992
18587,"SURPRISE VALLEY COMMUNITY HOSPITAL","Clerical & Other Administrative",14800
18588,"SURPRISE VALLEY COMMUNITY HOSPITAL","Environmental & Food Services",15809
18589,"SURPRISE VALLEY COMMUNITY HOSPITAL","Other",3288
18590,"SURPRISE VALLEY COMMUNITY HOSPITAL","Contracted Registry Nursing",0
18591,"SURPRISE VALLEY COMMUNITY HOSPITAL","Contracted Other",18524
18592,"SURPRISE VALLEY COMMUNITY HOSPITAL","Daily Cost Centers",46722
18593,"SURPRISE VALLEY COMMUNITY HOSPITAL","Ambulatory Cost Centers",14094
18594,"SURPRISE VALLEY COMMUNITY HOSPITAL","Ancillary Cost Centers",20661
18595,"SURPRISE VALLEY COMMUNITY HOSPITAL","Education Cost Centers",0
18596,"SURPRISE VALLEY COMMUNITY HOSPITAL","General Services Cost Centers",20956
18597,"SURPRISE VALLEY COMMUNITY HOSPITAL","Fiscal Services Cost Centers",8077
18598,"SURPRISE VALLEY COMMUNITY HOSPITAL","Administrative Services Cost Centers",7363
18599,"MODOC MEDICAL CENTER","Management & Supervision",34025
18600,"MODOC MEDICAL CENTER","Technician & Specialist",41171
18601,"MODOC MEDICAL CENTER","Registered Nurse",18823
18602,"MODOC MEDICAL CENTER","Licensed Vocational Nurse",11669
18603,"MODOC MEDICAL CENTER","Aides & Orderlies",43709
18604,"MODOC MEDICAL CENTER","Clerical & Other Administrative",46387
18605,"MODOC MEDICAL CENTER","Environmental & Food Services",40996
18606,"MODOC MEDICAL CENTER","Other",9205
18607,"MODOC MEDICAL CENTER","Contracted Registry Nursing",33359
18608,"MODOC MEDICAL CENTER","Contracted Other",4442
18609,"MODOC MEDICAL CENTER","Daily Cost Centers",96770
18610,"MODOC MEDICAL CENTER","Ambulatory Cost Centers",68734
18611,"MODOC MEDICAL CENTER","Ancillary Cost Centers",23309
18612,"MODOC MEDICAL CENTER","Education Cost Centers",0
18613,"MODOC MEDICAL CENTER","General Services Cost Centers",56580
18614,"MODOC MEDICAL CENTER","Fiscal Services Cost Centers",20448
18615,"MODOC MEDICAL CENTER","Administrative Services Cost Centers",17945
18616,"MAMMOTH HOSPITAL","Management & Supervision",50662
18617,"MAMMOTH HOSPITAL","Technician & Specialist",109518
18618,"MAMMOTH HOSPITAL","Registered Nurse",89075
18619,"MAMMOTH HOSPITAL","Licensed Vocational Nurse",3488
18620,"MAMMOTH HOSPITAL","Aides & Orderlies",24237
18621,"MAMMOTH HOSPITAL","Clerical & Other Administrative",152950
18622,"MAMMOTH HOSPITAL","Environmental & Food Services",43028
18623,"MAMMOTH HOSPITAL","Other",11074
18624,"MAMMOTH HOSPITAL","Contracted Registry Nursing",4125
18625,"MAMMOTH HOSPITAL","Contracted Other",2176
18626,"MAMMOTH HOSPITAL","Daily Cost Centers",43256
18627,"MAMMOTH HOSPITAL","Ambulatory Cost Centers",123876
18628,"MAMMOTH HOSPITAL","Ancillary Cost Centers",125107
18629,"MAMMOTH HOSPITAL","Education Cost Centers",0
18630,"MAMMOTH HOSPITAL","General Services Cost Centers",89444
18631,"MAMMOTH HOSPITAL","Fiscal Services Cost Centers",63366
18632,"MAMMOTH HOSPITAL","Administrative Services Cost Centers",45284
18633,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Management & Supervision",73415
18634,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Technician & Specialist",716113
18635,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Registered Nurse",780988
18636,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Licensed Vocational Nurse",20869
18637,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Aides & Orderlies",223228
18638,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Clerical & Other Administrative",471448
18639,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Environmental & Food Services",313237
18640,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Other",250352
18641,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Contracted Registry Nursing",5600
18642,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Contracted Other",14539
18643,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Daily Cost Centers",704250
18644,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Ambulatory Cost Centers",229205
18645,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Ancillary Cost Centers",723229
18646,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Education Cost Centers",0
18647,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","General Services Cost Centers",708437
18648,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Fiscal Services Cost Centers",247113
18649,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Administrative Services Cost Centers",257555
18650,"GEORGE L. MEE MEMORIAL HOSPITAL","Management & Supervision",75212
18651,"GEORGE L. MEE MEMORIAL HOSPITAL","Technician & Specialist",214557
18652,"GEORGE L. MEE MEMORIAL HOSPITAL","Registered Nurse",149584
18653,"GEORGE L. MEE MEMORIAL HOSPITAL","Licensed Vocational Nurse",29840
18654,"GEORGE L. MEE MEMORIAL HOSPITAL","Aides & Orderlies",91741
18655,"GEORGE L. MEE MEMORIAL HOSPITAL","Clerical & Other Administrative",148508
18656,"GEORGE L. MEE MEMORIAL HOSPITAL","Environmental & Food Services",87804
18657,"GEORGE L. MEE MEMORIAL HOSPITAL","Other",51945
18658,"GEORGE L. MEE MEMORIAL HOSPITAL","Contracted Registry Nursing",17539
18659,"GEORGE L. MEE MEMORIAL HOSPITAL","Contracted Other",5758
18660,"GEORGE L. MEE MEMORIAL HOSPITAL","Daily Cost Centers",239828
18661,"GEORGE L. MEE MEMORIAL HOSPITAL","Ambulatory Cost Centers",204397
18662,"GEORGE L. MEE MEMORIAL HOSPITAL","Ancillary Cost Centers",161881
18663,"GEORGE L. MEE MEMORIAL HOSPITAL","Education Cost Centers",0
18664,"GEORGE L. MEE MEMORIAL HOSPITAL","General Services Cost Centers",139712
18665,"GEORGE L. MEE MEMORIAL HOSPITAL","Fiscal Services Cost Centers",43853
18666,"GEORGE L. MEE MEMORIAL HOSPITAL","Administrative Services Cost Centers",82817
18667,"SALINAS VALLEY MEMORIAL HOSPITAL","Management & Supervision",78971
18668,"SALINAS VALLEY MEMORIAL HOSPITAL","Technician & Specialist",676958
18669,"SALINAS VALLEY MEMORIAL HOSPITAL","Registered Nurse",802849
18670,"SALINAS VALLEY MEMORIAL HOSPITAL","Licensed Vocational Nurse",34479
18671,"SALINAS VALLEY MEMORIAL HOSPITAL","Aides & Orderlies",227187
18672,"SALINAS VALLEY MEMORIAL HOSPITAL","Clerical & Other Administrative",508527
18673,"SALINAS VALLEY MEMORIAL HOSPITAL","Environmental & Food Services",237706
18674,"SALINAS VALLEY MEMORIAL HOSPITAL","Other",76461
18675,"SALINAS VALLEY MEMORIAL HOSPITAL","Contracted Registry Nursing",11153
18676,"SALINAS VALLEY MEMORIAL HOSPITAL","Contracted Other",5672
18677,"SALINAS VALLEY MEMORIAL HOSPITAL","Daily Cost Centers",677744
18678,"SALINAS VALLEY MEMORIAL HOSPITAL","Ambulatory Cost Centers",157777
18679,"SALINAS VALLEY MEMORIAL HOSPITAL","Ancillary Cost Centers",691421
18680,"SALINAS VALLEY MEMORIAL HOSPITAL","Education Cost Centers",3519
18681,"SALINAS VALLEY MEMORIAL HOSPITAL","General Services Cost Centers",656305
18682,"SALINAS VALLEY MEMORIAL HOSPITAL","Fiscal Services Cost Centers",173983
18683,"SALINAS VALLEY MEMORIAL HOSPITAL","Administrative Services Cost Centers",299214
18684,"NATIVIDAD MEDICAL CENTER","Management & Supervision",107606
18685,"NATIVIDAD MEDICAL CENTER","Technician & Specialist",253100
18686,"NATIVIDAD MEDICAL CENTER","Registered Nurse",452583
18687,"NATIVIDAD MEDICAL CENTER","Licensed Vocational Nurse",9968
18688,"NATIVIDAD MEDICAL CENTER","Aides & Orderlies",187967
18689,"NATIVIDAD MEDICAL CENTER","Clerical & Other Administrative",259042
18690,"NATIVIDAD MEDICAL CENTER","Environmental & Food Services",139355
18691,"NATIVIDAD MEDICAL CENTER","Other",105195
18692,"NATIVIDAD MEDICAL CENTER","Contracted Registry Nursing",41526
18693,"NATIVIDAD MEDICAL CENTER","Contracted Other",76767
18694,"NATIVIDAD MEDICAL CENTER","Daily Cost Centers",460478
18695,"NATIVIDAD MEDICAL CENTER","Ambulatory Cost Centers",206932
18696,"NATIVIDAD MEDICAL CENTER","Ancillary Cost Centers",343314
18697,"NATIVIDAD MEDICAL CENTER","Education Cost Centers",49656
18698,"NATIVIDAD MEDICAL CENTER","General Services Cost Centers",296232
18699,"NATIVIDAD MEDICAL CENTER","Fiscal Services Cost Centers",128553
18700,"NATIVIDAD MEDICAL CENTER","Administrative Services Cost Centers",147944
18701,"QUEEN OF THE VALLEY HOSPITAL","Management & Supervision",176551
18702,"QUEEN OF THE VALLEY HOSPITAL","Technician & Specialist",520702
18703,"QUEEN OF THE VALLEY HOSPITAL","Registered Nurse",625820
18704,"QUEEN OF THE VALLEY HOSPITAL","Licensed Vocational Nurse",12652
18705,"QUEEN OF THE VALLEY HOSPITAL","Aides & Orderlies",175847
18706,"QUEEN OF THE VALLEY HOSPITAL","Clerical & Other Administrative",377925
18707,"QUEEN OF THE VALLEY HOSPITAL","Environmental & Food Services",170963
18708,"QUEEN OF THE VALLEY HOSPITAL","Other",10879
18709,"QUEEN OF THE VALLEY HOSPITAL","Contracted Registry Nursing",19272
18710,"QUEEN OF THE VALLEY HOSPITAL","Contracted Other",23109
18711,"QUEEN OF THE VALLEY HOSPITAL","Daily Cost Centers",517035
18712,"QUEEN OF THE VALLEY HOSPITAL","Ambulatory Cost Centers",152726
18713,"QUEEN OF THE VALLEY HOSPITAL","Ancillary Cost Centers",643572
18714,"QUEEN OF THE VALLEY HOSPITAL","Education Cost Centers",0
18715,"QUEEN OF THE VALLEY HOSPITAL","General Services Cost Centers",325237
18716,"QUEEN OF THE VALLEY HOSPITAL","Fiscal Services Cost Centers",133887
18717,"QUEEN OF THE VALLEY HOSPITAL","Administrative Services Cost Centers",341263
18718,"ST. HELENA HOSPITAL","Management & Supervision",126272
18719,"ST. HELENA HOSPITAL","Technician & Specialist",425582
18720,"ST. HELENA HOSPITAL","Registered Nurse",325993
18721,"ST. HELENA HOSPITAL","Licensed Vocational Nurse",31157
18722,"ST. HELENA HOSPITAL","Aides & Orderlies",99034
18723,"ST. HELENA HOSPITAL","Clerical & Other Administrative",293282
18724,"ST. HELENA HOSPITAL","Environmental & Food Services",153080
18725,"ST. HELENA HOSPITAL","Other",7101
18726,"ST. HELENA HOSPITAL","Contracted Registry Nursing",6361
18727,"ST. HELENA HOSPITAL","Contracted Other",21607
18728,"ST. HELENA HOSPITAL","Daily Cost Centers",361917
18729,"ST. HELENA HOSPITAL","Ambulatory Cost Centers",242077
18730,"ST. HELENA HOSPITAL","Ancillary Cost Centers",263491
18731,"ST. HELENA HOSPITAL","Education Cost Centers",0
18732,"ST. HELENA HOSPITAL","General Services Cost Centers",287672
18733,"ST. HELENA HOSPITAL","Fiscal Services Cost Centers",115726
18734,"ST. HELENA HOSPITAL","Administrative Services Cost Centers",215614
18735,"NAPA STATE HOSPITAL","Management & Supervision",0
18736,"NAPA STATE HOSPITAL","Technician & Specialist",0
18737,"NAPA STATE HOSPITAL","Registered Nurse",0
18738,"NAPA STATE HOSPITAL","Licensed Vocational Nurse",0
18739,"NAPA STATE HOSPITAL","Aides & Orderlies",0
18740,"NAPA STATE HOSPITAL","Clerical & Other Administrative",0
18741,"NAPA STATE HOSPITAL","Environmental & Food Services",0
18742,"NAPA STATE HOSPITAL","Other",0
18743,"NAPA STATE HOSPITAL","Contracted Registry Nursing",0
18744,"NAPA STATE HOSPITAL","Contracted Other",0
18745,"NAPA STATE HOSPITAL","Daily Cost Centers",0
18746,"NAPA STATE HOSPITAL","Ambulatory Cost Centers",0
18747,"NAPA STATE HOSPITAL","Ancillary Cost Centers",0
18748,"NAPA STATE HOSPITAL","Education Cost Centers",0
18749,"NAPA STATE HOSPITAL","General Services Cost Centers",0
18750,"NAPA STATE HOSPITAL","Fiscal Services Cost Centers",0
18751,"NAPA STATE HOSPITAL","Administrative Services Cost Centers",0
18752,"SIERRA NEVADA MEMORIAL HOSPITAL","Management & Supervision",100895
18753,"SIERRA NEVADA MEMORIAL HOSPITAL","Technician & Specialist",300860
18754,"SIERRA NEVADA MEMORIAL HOSPITAL","Registered Nurse",311185
18755,"SIERRA NEVADA MEMORIAL HOSPITAL","Licensed Vocational Nurse",7564
18756,"SIERRA NEVADA MEMORIAL HOSPITAL","Aides & Orderlies",141951
18757,"SIERRA NEVADA MEMORIAL HOSPITAL","Clerical & Other Administrative",174589
18758,"SIERRA NEVADA MEMORIAL HOSPITAL","Environmental & Food Services",85423
18759,"SIERRA NEVADA MEMORIAL HOSPITAL","Other",39505
18760,"SIERRA NEVADA MEMORIAL HOSPITAL","Contracted Registry Nursing",6322
18761,"SIERRA NEVADA MEMORIAL HOSPITAL","Contracted Other",146
18762,"SIERRA NEVADA MEMORIAL HOSPITAL","Daily Cost Centers",241709
18763,"SIERRA NEVADA MEMORIAL HOSPITAL","Ambulatory Cost Centers",223235
18764,"SIERRA NEVADA MEMORIAL HOSPITAL","Ancillary Cost Centers",329545
18765,"SIERRA NEVADA MEMORIAL HOSPITAL","Education Cost Centers",0
18766,"SIERRA NEVADA MEMORIAL HOSPITAL","General Services Cost Centers",201146
18767,"SIERRA NEVADA MEMORIAL HOSPITAL","Fiscal Services Cost Centers",68587
18768,"SIERRA NEVADA MEMORIAL HOSPITAL","Administrative Services Cost Centers",104218
18769,"TAHOE FOREST HOSPITAL","Management & Supervision",124028
18770,"TAHOE FOREST HOSPITAL","Technician & Specialist",207256
18771,"TAHOE FOREST HOSPITAL","Registered Nurse",167338
18772,"TAHOE FOREST HOSPITAL","Licensed Vocational Nurse",10795
18773,"TAHOE FOREST HOSPITAL","Aides & Orderlies",33102
18774,"TAHOE FOREST HOSPITAL","Clerical & Other Administrative",247984
18775,"TAHOE FOREST HOSPITAL","Environmental & Food Services",76053
18776,"TAHOE FOREST HOSPITAL","Other",10502
18777,"TAHOE FOREST HOSPITAL","Contracted Registry Nursing",1139
18778,"TAHOE FOREST HOSPITAL","Contracted Other",6324
18779,"TAHOE FOREST HOSPITAL","Daily Cost Centers",118734
18780,"TAHOE FOREST HOSPITAL","Ambulatory Cost Centers",142454
18781,"TAHOE FOREST HOSPITAL","Ancillary Cost Centers",204510
18782,"TAHOE FOREST HOSPITAL","Education Cost Centers",827
18783,"TAHOE FOREST HOSPITAL","General Services Cost Centers",162244
18784,"TAHOE FOREST HOSPITAL","Fiscal Services Cost Centers",113283
18785,"TAHOE FOREST HOSPITAL","Administrative Services Cost Centers",94912
18786,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Management & Supervision",421039
18787,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Technician & Specialist",976893
18788,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Registered Nurse",718360
18789,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Licensed Vocational Nurse",18841
18790,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Aides & Orderlies",191233
18791,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Clerical & Other Administrative",803054
18792,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Environmental & Food Services",150456
18793,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Other",239531
18794,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Contracted Registry Nursing",8131
18795,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Contracted Other",0
18796,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Daily Cost Centers",960131
18797,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Ambulatory Cost Centers",422047
18798,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Ancillary Cost Centers",409699
18799,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Education Cost Centers",251629
18800,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","General Services Cost Centers",564347
18801,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Fiscal Services Cost Centers",298591
18802,"CHILDREN''S HOSPITAL OF ORANGE COUNTY","Administrative Services Cost Centers",618679
18803,"ORANGE COAST MEMORIAL MEDICAL CENTER","Management & Supervision",163081
18804,"ORANGE COAST MEMORIAL MEDICAL CENTER","Technician & Specialist",403705
18805,"ORANGE COAST MEMORIAL MEDICAL CENTER","Registered Nurse",584176
18806,"ORANGE COAST MEMORIAL MEDICAL CENTER","Licensed Vocational Nurse",6151
18807,"ORANGE COAST MEMORIAL MEDICAL CENTER","Aides & Orderlies",197192
18808,"ORANGE COAST MEMORIAL MEDICAL CENTER","Clerical & Other Administrative",283852
18809,"ORANGE COAST MEMORIAL MEDICAL CENTER","Environmental & Food Services",165674
18810,"ORANGE COAST MEMORIAL MEDICAL CENTER","Other",50507
18811,"ORANGE COAST MEMORIAL MEDICAL CENTER","Contracted Registry Nursing",36707
18812,"ORANGE COAST MEMORIAL MEDICAL CENTER","Contracted Other",25219
18813,"ORANGE COAST MEMORIAL MEDICAL CENTER","Daily Cost Centers",601011
18814,"ORANGE COAST MEMORIAL MEDICAL CENTER","Ambulatory Cost Centers",87108
18815,"ORANGE COAST MEMORIAL MEDICAL CENTER","Ancillary Cost Centers",573683
18816,"ORANGE COAST MEMORIAL MEDICAL CENTER","Education Cost Centers",1144
18817,"ORANGE COAST MEMORIAL MEDICAL CENTER","General Services Cost Centers",307995
18818,"ORANGE COAST MEMORIAL MEDICAL CENTER","Fiscal Services Cost Centers",115877
18819,"ORANGE COAST MEMORIAL MEDICAL CENTER","Administrative Services Cost Centers",215986
18820,"ANAHEIM GENERAL HOSPITAL","Management & Supervision",38309
18821,"ANAHEIM GENERAL HOSPITAL","Technician & Specialist",110522
18822,"ANAHEIM GENERAL HOSPITAL","Registered Nurse",92822
18823,"ANAHEIM GENERAL HOSPITAL","Licensed Vocational Nurse",37452
18824,"ANAHEIM GENERAL HOSPITAL","Aides & Orderlies",44763
18825,"ANAHEIM GENERAL HOSPITAL","Clerical & Other Administrative",57236
18826,"ANAHEIM GENERAL HOSPITAL","Environmental & Food Services",33342
18827,"ANAHEIM GENERAL HOSPITAL","Other",34944
18828,"ANAHEIM GENERAL HOSPITAL","Contracted Registry Nursing",1569
18829,"ANAHEIM GENERAL HOSPITAL","Contracted Other",0
18830,"ANAHEIM GENERAL HOSPITAL","Daily Cost Centers",171837
18831,"ANAHEIM GENERAL HOSPITAL","Ambulatory Cost Centers",35206
18832,"ANAHEIM GENERAL HOSPITAL","Ancillary Cost Centers",93721
18833,"ANAHEIM GENERAL HOSPITAL","Education Cost Centers",0
18834,"ANAHEIM GENERAL HOSPITAL","General Services Cost Centers",83159
18835,"ANAHEIM GENERAL HOSPITAL","Fiscal Services Cost Centers",22988
18836,"ANAHEIM GENERAL HOSPITAL","Administrative Services Cost Centers",44048
18837,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Management & Supervision",134205
18838,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Technician & Specialist",432911
18839,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Registered Nurse",674222
18840,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Licensed Vocational Nurse",9425
18841,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Aides & Orderlies",133705
18842,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Clerical & Other Administrative",482807
18843,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Environmental & Food Services",20784
18844,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Other",39237
18845,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Contracted Registry Nursing",8338
18846,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Contracted Other",994
18847,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Daily Cost Centers",729102
18848,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Ambulatory Cost Centers",133851
18849,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Ancillary Cost Centers",564067
18850,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Education Cost Centers",0
18851,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","General Services Cost Centers",180426
18852,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Fiscal Services Cost Centers",134271
18853,"AHMC ANAHEIM REGIONAL MEDICAL CENTER","Administrative Services Cost Centers",194911
18854,"KINDRED HOSPITAL - BREA","Management & Supervision",31462
18855,"KINDRED HOSPITAL - BREA","Technician & Specialist",97423
18856,"KINDRED HOSPITAL - BREA","Registered Nurse",86844
18857,"KINDRED HOSPITAL - BREA","Licensed Vocational Nurse",65877
18858,"KINDRED HOSPITAL - BREA","Aides & Orderlies",68050
18859,"KINDRED HOSPITAL - BREA","Clerical & Other Administrative",20624
18860,"KINDRED HOSPITAL - BREA","Environmental & Food Services",35683
18861,"KINDRED HOSPITAL - BREA","Other",406
18862,"KINDRED HOSPITAL - BREA","Contracted Registry Nursing",2138
18863,"KINDRED HOSPITAL - BREA","Contracted Other",237
18864,"KINDRED HOSPITAL - BREA","Daily Cost Centers",228543
18865,"KINDRED HOSPITAL - BREA","Ambulatory Cost Centers",0
18866,"KINDRED HOSPITAL - BREA","Ancillary Cost Centers",59048
18867,"KINDRED HOSPITAL - BREA","Education Cost Centers",0
18868,"KINDRED HOSPITAL - BREA","General Services Cost Centers",58621
18869,"KINDRED HOSPITAL - BREA","Fiscal Services Cost Centers",11071
18870,"KINDRED HOSPITAL - BREA","Administrative Services Cost Centers",51461
18871,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Management & Supervision",0
18872,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Technician & Specialist",0
18873,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Registered Nurse",1526148
18874,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Licensed Vocational Nurse",6206
18875,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Aides & Orderlies",206991
18876,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Clerical & Other Administrative",0
18877,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Environmental & Food Services",0
18878,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Other",2085602
18879,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Contracted Registry Nursing",44383
18880,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Contracted Other",0
18881,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Daily Cost Centers",1553519
18882,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Ambulatory Cost Centers",242310
18883,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Ancillary Cost Centers",445020
18884,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Education Cost Centers",0
18885,"KAISER FOUNDATION HOSPITAL - ANAHEIM","General Services Cost Centers",869722
18886,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Fiscal Services Cost Centers",53265
18887,"KAISER FOUNDATION HOSPITAL - ANAHEIM","Administrative Services Cost Centers",703093
